Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
65.000000	4064.102564	4498.974359	4205.128205	4463.076923	4122.051282	4542.564103	4201.025641	4837.435897	4245.128205	4471.282051	4228.205128	4351.282051	4465.128205	4466.153846	1607.000000	2107.000000	33.709000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
66.000000	4063.589744	4503.076923	4206.666667	4462.564103	4126.666667	4543.589744	4203.589744	4840.000000	4244.102564	4472.307692	4227.692308	4351.794872	4461.538462	4466.153846	1611.000000	2103.000000	33.717000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
67.000000	4063.589744	4504.102564	4211.282051	4461.025641	4127.179487	4541.025641	4201.025641	4843.589744	4243.076923	4473.846154	4229.743590	4354.358974	4464.102564	4469.230769	1607.000000	2103.000000	33.725000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
68.000000	4062.564103	4502.564103	4206.153846	4460.512821	4126.153846	4543.589744	4203.076923	4836.923077	4241.025641	4472.307692	4230.256410	4350.769231	4465.128205	4467.692308	1607.000000	2107.000000	33.732000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
69.000000	4063.589744	4502.564103	4205.128205	4461.025641	4123.076923	4541.538462	4200.512821	4835.384615	4243.076923	4471.794872	4230.769231	4349.230769	4465.641026	4466.666667	1607.000000	2103.000000	33.740000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
70.000000	4060.000000	4501.538462	4210.769231	4463.076923	4124.102564	4544.102564	4202.564103	4840.000000	4244.615385	4472.307692	4229.743590	4350.256410	4462.564103	4466.666667	1607.000000	2107.000000	33.748000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
71.000000	4062.564103	4498.461538	4208.717949	4463.076923	4124.102564	4543.076923	4204.102564	4843.589744	4244.102564	4473.846154	4230.769231	4352.307692	4462.051282	4466.666667	1607.000000	2099.000000	33.756000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
72.000000	4064.615385	4498.974359	4206.666667	4462.564103	4124.102564	4543.589744	4204.102564	4840.512821	4241.538462	4474.358974	4231.794872	4352.820513	4461.538462	4463.076923	1607.000000	2107.000000	33.764000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
73.000000	4062.564103	4501.025641	4211.794872	4462.051282	4121.538462	4543.076923	4199.487179	4838.974359	4243.589744	4472.307692	4231.282051	4351.282051	4463.589744	4466.666667	1611.000000	2103.000000	33.772000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
74.000000	4060.000000	4499.487179	4212.307692	4462.564103	4125.128205	4543.589744	4203.589744	4839.487179	4244.615385	4470.256410	4228.717949	4348.717949	4462.564103	4471.794872	1607.000000	2103.000000	33.780000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
75.000000	4062.051282	4497.948718	4208.205128	4460.512821	4124.102564	4540.000000	4204.102564	4840.512821	4242.051282	4470.769231	4230.256410	4350.256410	4463.589744	4470.256410	1607.000000	2107.000000	33.788000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
76.000000	4061.025641	4501.025641	4208.205128	4461.025641	4121.538462	4542.051282	4201.538462	4840.512821	4241.025641	4470.769231	4230.769231	4350.256410	4465.128205	4466.153846	1607.000000	2103.000000	33.795000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
77.000000	4062.564103	4504.102564	4208.717949	4461.538462	4121.538462	4543.589744	4202.051282	4840.512821	4243.589744	4471.794872	4230.256410	4349.230769	4463.076923	4467.692308	1607.000000	2103.000000	33.803000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
