subject,acc,RT,Code,seq,actionseq,timeseq,trial
28306,1,0.813175699906424,1,1,1,1,39
28306,1,0.602387600112706,2,2,2,2,39
28306,0,0.839984700083733,3,3,2,3,39
28306,1,0.509251600131392,1,1,1,4,39
28306,0,1.04738100012764,1,3,2,5,39
28306,1,0.722530100028962,2,2,2,6,39
28306,1,0.643982799956575,2,2,2,7,39
28306,1,1.07253409991972,2,3,2,8,39
28306,1,0.419971999945119,1,1,1,9,39
28306,1,1.15320119983517,1,1,1,10,39
28306,1,0.425390199990943,2,2,2,11,39
28306,1,0.382025300059468,2,3,2,12,39
28306,1,0.941356900148094,2,3,2,13,39
28306,1,0.565504800062627,2,2,2,14,39
28306,1,0.81301649985835,1,1,1,15,39
28306,1,0.475102100055665,2,2,2,16,39
28306,1,0.430259099928662,2,3,2,17,39
28306,1,0.61138469981961,1,1,1,18,39
28306,1,0.649410099955276,1,1,1,19,39
28306,1,0.629242799943313,2,2,2,20,39
28306,1,0.61057520005852,2,3,2,21,39
28306,1,0.472451700130478,2,2,2,22,39
28306,1,0.427664699964225,2,3,2,23,39
28306,1,0.561205199919641,1,1,1,24,39
28306,1,0.488940699957311,1,1,1,25,39
28306,1,0.467473300173879,2,3,2,26,39
28306,1,0.454901900142431,2,2,2,27,39
28306,1,0.68313719984144,1,1,1,28,39
28306,1,0.541820700047538,2,2,2,29,39
28306,0,0.774482500040904,1,3,2,30,39
28306,1,0.445968199986964,2,3,2,31,39
28306,1,0.474432799965143,2,2,2,32,39
28306,1,0.541961000068113,1,1,1,33,39
28306,1,0.646432999987155,1,1,1,34,39
28306,1,0.442952600074932,2,3,2,35,39
28306,1,0.640033399919048,1,1,1,36,39
28306,1,0.436602799920365,2,2,2,37,39
28306,1,0.433341399999335,2,2,2,38,39
28306,1,0.533791000023484,2,3,2,39,39
28306,1,0.585286400048062,1,1,1,40,78
28306,1,0.632125900126994,1,2,1,41,78
28306,0,0.636506600072607,1,3,2,42,78
28306,0,0.64115529996343,1,4,2,43,78
28306,0,0.629197200061753,1,5,3,44,78
28306,0,0.44281670008786,1,6,3,45,78
28306,0,1.21549919992685,2,5,3,46,78
28306,1,0.780932300025597,1,1,1,47,78
28306,1,0.603990099858493,2,4,2,48,78
28306,1,0.929643699899316,1,2,1,49,78
28306,1,0.954608999891207,3,5,3,50,78
28306,1,1.4182379997801,3,6,3,51,78
28306,1,0.543920699972659,2,3,2,52,78
28306,-1,-1,-1,3,2,53,78
28306,1,0.866459700046107,3,6,3,54,78
28306,1,0.709502799902111,1,2,1,55,78
28306,1,0.423522299854085,1,1,1,56,78
28306,1,0.525063700042665,2,4,2,57,78
28306,1,0.574753199936822,1,1,1,58,78
28306,1,0.885898599866778,1,2,1,59,78
28306,1,0.568431799998507,2,3,2,60,78
28306,1,0.783443799940869,2,4,2,61,78
28306,1,1.43852089997381,3,5,3,62,78
