subject,train_3_acc,train_6_acc,test_3_acc,test_6_acc,learnDiff
28306,0.885416667,0.895833333,1,0.986111111,-0.010416667
28330,0.770833333,0.819444444,0.888888889,0.923611111,-0.048611111
28211,0.861111111,0.840277778,1,0.923611111,0.020833333
28284,0.868055556,0.717592593,0.777777778,0.756944444,0.150462963
28303,0.833333333,0.766203704,0.875,0.847222222,0.06712963
28305,0.871527778,0.893518519,1,0.944444444,-0.021990741
28307,0.868055556,0.916666667,0.652777778,0.819444444,-0.048611111
28242,0.864583333,0.844907407,0.930555556,0.965277778,0.019675926
28241,0.774305556,0.861111111,0.791666667,0.902777778,-0.086805556
28243,0.888888889,0.847222222,0.736111111,0.916666667,0.041666667
28215,0.784722222,0.706018519,0.902777778,0.791666667,0.078703704
