"","OLCTS Expt #","Ravens Score","SspanAbsoluteScore","RspanScore","OspanAbsoluteScore"
"1",28210,14,0,20,18
"2",28211,11,9,20,14
"3",28212,12,5,30,12
"4",28213,14,2,9,NA
"5",28214,NA,2,NA,NA
"6",28215,9,5,18,13
"7",28216,7,5,NA,14
"8",28217,10,NA,13,NA
"9",28218,15,NA,24,NA
"10",28219,13,10,18,18
"11",28220,11,14,18,7
"12",28221,8,3,26,18
"13",28222,9,5,10,0
"14",28223,15,14,24,25
"15",28224,11,5,19,12
"16",28225,13,9,15,25
"17",28226,12,9,9,8
"18",28227,12,9,9,0
"19",28228,13,2,15,18
"20",28229,9,2,8,7
"21",28230,15,5,19,18
"22",28231,12,9,30,18
"23",28232,14,9,24,18
"24",28233,14,14,30,9
"25",28234,10,5,14,9
"26",28235,NA,6,NA,NA
"27",28236,16,14,30,25
"28",28237,17,10,25,18
"29",28238,10,2,14,12
"30",28239,8,5,18,8
"31",28240,8,2,4,3
"32",28241,13,6,24,19
"33",28242,13,5,19,16
"34",28243,18,9,24,20
"35",28244,8,9,24,16
"36",28245,16,10,30,19
"37",28246,13,14,13,12
"38",28247,10,2,9,5
"39",28248,12,11,18,19
"40",28249,14,2,14,19
"41",28250,9,6,25,12
"42",28280,8,11,19,15
"43",28281,12,5,30,18
"44",28282,10,9,25,17
"45",28283,12,9,26,7
"46",28284,13,5,24,18
"47",29303,12,NA,18,18
"48",29305,12,5,24,12
"49",29306,18,9,30,25
"50",29307,15,5,24,12
"51",29310,15,9,19,18
"52",29318,12,0,24,18
"53",29326,13,9,30,21
"54",29328,16,11,25,7
"55",NA,11,7,14,18
"56",NA,13,14,30,13
"57",NA,14,5,24,18
"58",NA,7,5,24,25
"59",NA,14,9,19,18
"60",NA,12,0,0,3
"61",NA,14,10,30,25
"62",NA,15,2,15,25
"63",NA,NA,0,0,18
"64",NA,15,11,30,18
"65",NA,6,2,24,3
"66",NA,13,9,30,25
"67",NA,15,5,13,3
"68",NA,10,6,4,18
"69",NA,11,14,14,13
"70",NA,13,9,24,18
"71",NA,15,9,30,25
"72",NA,11,14,24,25
"73",NA,14,5,20,6
"74",NA,13,2,20,12
"75",NA,12,5,13,3
"76",NA,11,10,17,8
