subject,acc,RT,Code,seq,actionseq,timeseq,trial
28329,1,0.575747100170702,1,1,1,1,39
28329,0,0.702919000061229,3,2,2,2,39
28329,0,0.441269299946725,3,3,2,3,39
28329,0,0.669889600016177,1,3,2,4,39
28329,1,0.545120999915525,1,1,1,5,39
28329,1,0.745864700060338,2,3,2,6,39
28329,0,0.59459439991042,3,2,2,7,39
28329,1,0.616929700132459,1,1,1,8,39
28329,1,0.782325699925423,2,2,2,9,39
28329,1,0.517005600035191,1,1,1,10,39
28329,1,0.382673799991608,2,2,2,11,39
28329,1,0.285291400039569,2,3,2,12,39
28329,1,0.487996099982411,1,1,1,13,39
28329,1,0.226605600211769,2,3,2,14,39
28329,1,0.240190100157633,2,2,2,15,39
28329,1,0.476268900092691,2,2,2,16,39
28329,1,0.392021500039846,1,1,1,17,39
28329,0,0.39842540002428,2,1,1,18,39
28329,1,0.716605499852449,2,3,2,19,39
28329,1,0.77373080002144,2,2,2,20,39
28329,1,0.453250300139189,2,3,2,21,39
28329,1,0.369141600094736,2,3,2,22,39
28329,1,0.352390799904242,1,1,1,23,39
28329,1,0.624282600125298,2,2,2,24,39
28329,1,0.437921900069341,2,3,2,25,39
28329,1,0.6107448998373,1,1,1,26,39
28329,1,0.616772199980915,2,3,2,27,39
28329,1,0.677894699852914,2,2,2,28,39
28329,1,0.513501000124961,1,1,1,29,39
28329,1,0.514733899850398,2,2,2,30,39
28329,1,0.484058199916035,2,2,2,31,39
28329,1,0.59832700015977,2,3,2,32,39
28329,1,0.540271899895743,1,1,1,33,39
28329,1,0.325376499909908,2,3,2,34,39
28329,1,0.470468200044706,1,1,1,35,39
28329,1,0.530058800010011,2,2,2,36,39
28329,1,0.386371599975973,2,2,2,37,39
28329,1,0.425422899890691,1,1,1,38,39
28329,1,0.318410100182518,2,3,2,39,39
28329,1,0.776441999943927,1,1,1,40,78
28329,0,0.679830000037327,2,2,1,41,78
28329,0,0.955240000039339,1,3,2,42,78
28329,0,0.731055399868637,3,4,2,43,78
28329,0,0.724033999955282,1,5,3,44,78
28329,0,0.652732099872082,1,6,3,45,78
28329,1,0.513215299928561,1,1,1,46,78
28329,-1,-1,-1,5,3,47,78
28329,1,0.644860900007188,1,2,1,48,78
28329,0,0.793275499949232,2,6,3,49,78
28329,0,0.591667999979109,3,3,2,50,78
28329,0,0.422572499839589,3,3,2,51,78
28329,0,0.900147699983791,3,4,2,52,78
28329,0,0.502006199909374,3,2,1,53,78
28329,1,0.823930999962613,2,4,2,54,78
28329,0,0.973371999803931,2,6,3,55,78
28329,1,0.684642599895597,1,1,1,56,78
28329,1,1.48732520011254,3,5,3,57,78
28329,1,1.04987380001694,1,1,1,58,78
28329,1,0.606030400143936,1,2,1,59,78
28329,1,0.820079000201076,2,3,2,60,78
28329,1,0.768930300138891,2,4,2,61,78
28329,1,0.856255599996075,3,5,3,62,78
28329,1,0.812633000081405,3,6,3,63,78
28329,0,0.666704300092533,3,4,2,64,78
28329,1,1.06203359994106,2,3,2,65,78
28329,0,1.02598510007374,3,4,2,66,78
28329,1,0.863430300028995,1,1,1,67,78
28329,1,0.890807999996468,3,5,3,68,78
28329,1,0.581065100152045,3,5,3,69,78
28329,1,0.939711899962276,1,2,1,70,78
28329,1,0.860336999874562,3,6,3,71,78
28329,1,0.936594400089234,2,3,2,72,78
28329,1,0.793255799915642,3,5,3,73,78
28329,1,0.495851099956781,1,2,1,74,78
28329,1,0.602657000068575,1,1,1,75,78
28329,1,0.656681100139394,3,6,3,76,78
28329,1,1.09260279987939,2,4,2,77,78
28329,1,0.343439100077376,2,3,2,78,78
28329,1,1.17575079994276,3,6,3,79,78
28329,1,0.535248099826276,1,2,1,80,78
28329,1,0.911937800003216,3,6,3,81,78
28329,1,0.521929699927568,1,1,1,82,78
28329,1,0.715275899972767,3,5,3,83,78
28329,1,0.612343900138512,1,2,1,84,78
28329,1,1.41866900003515,1,1,1,85,78
28329,1,1.00771070015617,2,4,2,86,78
28329,1,0.789974800078198,2,3,2,87,78
28329,1,0.564590300200507,2,3,2,88,78
28329,1,0.53988129994832,1,2,1,89,78
28329,1,0.844716899795458,3,5,3,90,78
28329,1,0.513371399836615,3,6,3,91,78
28329,1,0.626369700068608,1,1,1,92,78
28329,1,0.496706200065091,1,1,1,93,78
28329,1,0.55379749997519,2,4,2,94,78
28329,1,0.697706300066784,1,1,1,95,78
28329,-1,-1,-1,6,3,96,78
28329,1,0.605686200084165,1,2,1,97,78
28329,1,0.859900399809703,2,3,2,98,78
28329,1,1.2158813001588,3,5,3,99,78
28329,1,0.933147400151938,2,4,2,100,78
28329,1,0.910058700013906,2,4,2,101,78
28329,1,0.655798000050709,2,3,2,102,78
28329,1,0.867746700067073,3,5,3,103,78
28329,1,0.711209199856967,2,3,2,104,78
28329,1,0.481232200050727,1,1,1,105,78
28329,1,0.683882399927825,1,2,1,106,78
28329,1,0.670632899971679,3,6,3,107,78
28329,1,0.490095300134271,3,6,3,108,78
28329,1,0.580528900027275,1,2,1,109,78
28329,1,1.1312737998087,3,5,3,110,78
28329,1,0.80394749995321,2,4,2,111,78
28329,1,0.417785900179297,2,3,2,112,78
28329,1,0.58358890004456,3,6,3,113,78
28329,1,0.677982400171459,2,4,2,114,78
28329,1,0.369453000137582,1,2,1,115,78
28329,1,0.392670199973509,1,1,1,116,78
28329,1,0.511318000033498,1,2,1,117,78
28329,1,0.820805000141263,1,1,1,118,39
28329,1,1.03341559995897,3,2,3,119,39
28329,0,0.702777799917385,2,3,3,120,39
28329,1,0.760554499924183,3,3,3,121,39
28329,1,0.768642900045961,1,1,1,122,39
28329,1,0.632015899987891,3,3,3,123,39
28329,1,0.308314300142229,3,2,3,124,39
28329,1,0.334380499785766,1,1,1,125,39
28329,1,0.559317900100723,3,2,3,126,39
28329,1,0.511202199850231,1,1,1,127,39
28329,1,0.568966099992394,3,2,3,128,39
28329,1,0.592687599826604,3,3,3,129,39
