16.5096 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
17.7016 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000201EFABE908>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000201F1332240>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7016 	EXP 	window1: recordFrameIntervals = False
17.8669 	EXP 	window1: recordFrameIntervals = True
18.0506 	EXP 	window1: recordFrameIntervals = False
18.1881 	EXP 	Created txt_instrcution = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='txt_instrcution', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
18.1971 	EXP 	Created txt_imi = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='txt_imi', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
18.4924 	EXP 	Created movie2_video = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='stimuliSet\\v5\\seg\\v5_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie2_video', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 352.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
18.4944 	EXP 	Created txt_imi = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='txt_imi', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
18.6001 	EXP 	Created movie3_seg = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-2.0, filename='stimuliSet\\v1\\seg\\v1_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie3_seg', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 352.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
18.6069 	EXP 	movie2_video: movie = 'stimuliSet\\v5\\seg\\v5_comb.avi'
18.6069 	EXP 	movie2_video: autoLog = True
18.6069 	EXP 	movie3_seg: movie = 'stimuliSet\\v1\\seg\\v1_comb.avi'
18.6069 	EXP 	movie3_seg: autoLog = True
18.6069 	EXP 	txt_instrcution: autoDraw = True
54.5513 	DATA 	Keypress: space
54.6460 	EXP 	Created movie1_video = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-2.0, filename='stimuliSet\\v7\\seg\\v7_comb.avi', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie1_video', noAudio=True, opacity=1.0, ori=0, pos=array([0., 0.]), size=array([480., 360.]), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
54.6568 	EXP 	txt_instrcution: autoDraw = False
54.6568 	EXP 	movie1_video: movie = 'stimuliSet\\v7\\seg\\v7_comb.avi'
54.6568 	EXP 	movie1_video: autoLog = True
54.6568 	EXP 	movie1_video: autoDraw = True
56.5172 	DATA 	Keypress: space
59.1515 	DATA 	Keypress: space
63.0676 	DATA 	Keypress: space
66.6517 	DATA 	Keypress: space
75.3667 	DATA 	Keypress: space
82.0172 	DATA 	Keypress: space
86.1674 	DATA 	Keypress: space
99.8848 	DATA 	Keypress: space
108.0849 	DATA 	Keypress: space
113.2838 	DATA 	Keypress: space
116.4502 	DATA 	Keypress: space
123.9838 	DATA 	Keypress: space
126.4672 	DATA 	Keypress: space
132.8161 	DATA 	Keypress: space
137.7825 	DATA 	Keypress: space
142.2372 	DATA 	Keypress: space
149.5672 	DATA 	Keypress: space
156.7175 	DATA 	Keypress: space
163.6671 	DATA 	Keypress: space
167.7006 	DATA 	Keypress: space
172.3008 	DATA 	Keypress: space
177.3848 	DATA 	Keypress: space
181.9514 	DATA 	Keypress: space
185.0369 	DATA 	Keypress: space
188.4371 	DATA 	Keypress: space
193.7839 	DATA 	Keypress: space
217.2004 	DATA 	Keypress: space
222.5168 	DATA 	Keypress: space
226.8035 	DATA 	Keypress: space
236.9183 	DATA 	Keypress: space
247.1010 	DATA 	Keypress: space
249.5678 	DATA 	Keypress: space
257.3500 	DATA 	Keypress: space
266.1180 	DATA 	Keypress: space
275.5667 	EXP 	movie1_video: autoDraw = False
275.5667 	EXP 	movie1_video: autoDraw = False
275.5667 	EXP 	txt_imi: autoDraw = True
278.1672 	DATA 	Keypress: space
278.5665 	EXP 	txt_imi: autoDraw = False
278.5665 	EXP 	txt_imi: autoDraw = False
278.5665 	EXP 	movie2_video: autoDraw = True
281.4839 	DATA 	Keypress: space
281.5343 	DATA 	Keypress: space
290.5678 	DATA 	Keypress: space
296.0845 	DATA 	Keypress: space
304.1182 	DATA 	Keypress: space
312.7838 	DATA 	Keypress: space
316.1502 	DATA 	Keypress: space
333.2506 	DATA 	Keypress: space
346.2337 	DATA 	Keypress: space
367.6838 	DATA 	Keypress: space
369.9838 	DATA 	Keypress: space
404.3178 	DATA 	Keypress: space
411.9181 	DATA 	Keypress: space
426.6178 	DATA 	Keypress: space
429.9338 	DATA 	Keypress: space
455.9838 	DATA 	Keypress: space
459.4670 	DATA 	Keypress: space
464.9999 	DATA 	Keypress: space
472.6663 	EXP 	movie2_video: autoDraw = False
472.6663 	EXP 	movie2_video: autoDraw = False
472.6663 	EXP 	txt_imi: autoDraw = True
473.8170 	DATA 	Keypress: space
475.6664 	EXP 	txt_imi: autoDraw = False
475.6664 	EXP 	txt_imi: autoDraw = False
475.6664 	EXP 	movie3_seg: autoDraw = True
478.2337 	DATA 	Keypress: space
519.1347 	DATA 	Keypress: space
545.1838 	DATA 	Keypress: space
561.4671 	DATA 	Keypress: space
572.3661 	DATA 	Keypress: space
588.5324 	DATA 	Keypress: space
613.5504 	DATA 	Keypress: space
631.7503 	DATA 	Keypress: space
639.4834 	DATA 	Keypress: space
660.8177 	EXP 	window1: mouseVisible = True
